time/fps,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/loss,rollout/ep_len_mean,time/total_timesteps,time/episodes
109,0.01,5.6,92,2288,5e-05,0.602818489074707,508.9,10178,20
106,0.01,5.725,190,4832,5e-05,0.30184346437454224,508.825,20353,40
99,0.01,4.95,307,7372,5e-05,0.2704702317714691,508.55,30513,60
99,0.01,4.975,408,9911,5e-05,0.2079024314880371,508.3875,40671,80
97,0.01,5.29,520,12452,5e-05,0.33409011363983154,508.35,50835,100
94,0.01,5.44,643,14997,5e-05,0.3001297116279602,508.35,61013,120
94,0.01,5.65,755,17534,5e-05,0.20762036740779877,508.08,71161,140
94,0.01,6.41,863,20072,5e-05,0.39434435963630676,508.03,81316,160
94,0.01,6.73,970,22614,5e-05,0.45968174934387207,508.13,91484,180
94,0.01,6.63,1076,25156,5e-05,0.3014969825744629,508.14,101649,200
94,0.01,6.74,1188,27698,5e-05,0.416971355676651,508.07,111820,220
93,0.01,6.83,1300,30236,5e-05,0.28185132145881653,508.11,121972,240
94,0.01,6.96,1405,32781,5e-05,0.29665374755859375,508.34,132150,260
94,0.01,7.03,1509,35325,5e-05,0.29901322722435,508.43,142327,280
93,0.01,7.47,1633,37862,5e-05,0.32915934920310974,508.27,152476,300
93,0.01,7.81,1739,40406,5e-05,0.2939470410346985,508.29,162649,320
93,0.01,8.01,1839,42944,5e-05,0.24709510803222656,508.31,172803,340
94,0.01,8.42,1936,45489,5e-05,0.3192243278026581,508.33,182983,360
95,0.01,9.09,2033,48034,5e-05,0.300962895154953,508.34,193161,380
